,off_avg,def_avg,ovr
scyther,9.446396869317804,11.178066751956651,-1.7316698826388475
sandslash,8.93161002617643,11.134991571342566,-2.2033815451661347
nidorina,6.4857233047116525,10.117815737687241,-3.632092432975589
nidorino,7.0957363564222495,10.606879812414842,-3.5111434559925927
voltorb,5.460909655415695,10.010557977122215,-4.54964832170652
paras,7.436262190339224,15.796066225165564,-8.35980403482634
kingler,12.099948730115825,7.939334293118342,4.160614436997483
wigglytuff,10.457245388758263,11.57984289919058,-1.1225975104323176
machoke,11.44559497759015,10.86045648060549,0.5851384969846603
marowak,13.347995006024352,11.758255267910899,1.5897397381134528
raticate,9.343815794014976,10.364683222958059,-1.0208674289430828
poliwhirl,10.736262123295935,9.100651553744271,1.6356105695516643
pidgeotto,8.455096692276378,10.49376640577965,-2.038669713503273
goldeen,10.339770378456311,9.35876821192053,0.9810021665357809
